GAGEID,COMID,svc_sd,xgb_sd,NUSVR_alpha,NuSVR_beta,GP_alpha,GP_beta,Jan_NN,Feb_NN,March_NN,April_NN,May_NN,June_NN,July_NN,Aug_NN,Sept_NN,Oct_NN,Nov_NN,Dec_NN,NN_td,Jan_XT,Feb_XT,March_XT,April_XT,May_XT,June_XT,July_XT,Aug_XT,Sept_XT,Oct_XT,Nov_XT,Dec_XT,XT_td,Jan_RF,Feb_RF,March_RF,April_RF,May_RF,June_RF,July_RF,Aug_RF,Sept_RF,Oct_RF,Nov_RF,Dec_RF,RF_td
5867550,57003172,1,0,19.28049981,0.074151108,19.28049981,0.074151108,1,1,0,1,1,0,1,1,0,0,0,0,6,1,1,1,1,1,1,1,0,0,0,0,0,7,1,1,1,1,1,1,0,0,0,0,0,1,6
5302365,56168949,0,0,0.011472513,0.194147727,0.011472513,0.194147727,1,0,1,0,1,1,0,0,0,0,0,1,4,1,1,0,0,1,1,1,1,0,0,0,1,6,1,1,0,0,0,0,0,1,0,0,0,1,3
5302261,56169023,2,2,0.584287854,0.095932848,0.584287854,0.095932848,1,1,1,1,1,1,1,0,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,0,7
5302251,56169026,2,1,1.177804435,0.062056245,1.177804435,0.062056245,1,1,1,1,1,1,0,0,0,0,0,0,6,1,1,1,0,1,1,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,1,2
5204102,56154669,2,2,0.099026205,0.095906332,0.099026205,0.095906332,1,1,1,0,0,0,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,1,1,4,1,1,1,0,0,0,0,0,0,0,1,1,4
5124000,71043865,3,3,0.00953336,0.217654526,0.00953336,0.217654526,0,0,0,1,1,1,1,1,1,1,0,0,7,1,0,0,1,1,1,1,1,1,1,1,1,9,1,0,0,1,1,1,1,1,1,1,1,1,9
4243240,72046251,2,2,4.735420291,0.077827585,4.735420291,0.077827585,0,0,0,0,1,1,1,1,1,0,0,0,5,0,0,0,0,1,1,1,1,1,0,0,0,5,0,0,0,0,1,1,1,1,1,0,0,0,5
4208504,72057884,0,0,2.164886431,0.076752155,2.164886431,0.076752155,1,0,0,0,0,0,0,0,1,1,1,1,4,0,0,0,0,0,0,0,1,1,1,1,0,4,0,0,0,0,1,0,0,1,1,1,1,0,5
4146170,78017957,2,2,8.873204026,0.042143269,8.873204026,0.042143269,1,0,0,0,0,1,1,1,1,1,1,1,7,1,0,0,0,0,1,1,1,1,1,1,1,7,0,0,0,0,0,1,1,1,1,1,1,1,6
4115310,78013893,2,2,1.465198848,0.077987949,1.465198848,0.077987949,1,0,0,0,0,1,1,1,1,1,1,1,7,1,1,0,0,0,1,1,1,1,1,1,1,8,1,1,0,0,0,1,1,1,1,1,1,1,8
4115206,78015477,2,3,3.583055276,0.032883028,3.583055276,0.032883028,0,0,0,0,1,1,1,1,1,1,1,1,7,1,1,0,0,0,1,1,1,1,1,1,1,8,1,1,0,0,0,1,1,1,1,1,1,1,8
4115205,78015474,2,2,3.392511313,0.031644021,3.392511313,0.031644021,0,0,0,0,1,1,1,1,1,1,1,1,7,1,1,0,0,0,1,1,1,1,1,1,1,8,1,1,0,0,0,1,1,1,1,1,1,1,8
4115204,78015467,2,2,3.388713794,0.031584848,3.388713794,0.031584848,0,0,0,0,1,1,1,1,1,1,1,1,7,1,1,0,0,0,1,1,1,1,1,1,1,8,1,1,0,0,0,1,1,1,1,1,1,1,8
4115203,78015462,2,3,3.445573749,0.031512121,3.445573749,0.031512121,0,0,0,0,1,1,1,1,1,1,1,1,7,1,1,0,0,0,1,1,1,1,1,1,1,8,1,0,0,0,0,1,1,1,1,1,1,1,7
4115080,78017888,2,2,14.57273103,0.034642956,14.57273103,0.034642956,1,0,0,0,0,1,1,1,1,1,1,1,7,0,0,0,0,0,1,1,1,1,1,1,1,6,1,0,0,0,0,1,1,1,1,1,1,1,7
3603000,74053849,2,2,4.443284025,0.056640537,4.443284025,0.056640537,1,0,0,0,0,0,1,1,1,1,1,1,6,1,0,0,0,0,0,1,1,1,1,1,1,6,1,0,0,0,0,0,1,1,1,1,1,1,6
3287500,74045506,2,3,3.535706733,0.086216178,3.535706733,0.086216178,0,0,0,0,0,0,0,1,1,1,1,1,4,0,0,0,0,0,0,0,1,1,1,1,1,4,0,0,0,0,0,0,1,1,1,1,1,1,5
3253500,74037290,2,2,3.013395829,0.123611556,3.013395829,0.123611556,0,0,0,0,0,0,0,1,1,1,1,1,4,0,0,0,0,0,0,1,1,1,1,1,1,5,0,0,0,0,0,0,1,1,1,1,1,1,5
